player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Cameron Jordan,6176,ED,NO,1,3,0,20,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,9,0,0,0,0,0,0,0.0,,0,0,,,8.3,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,33.3,12,0,0,0,0,0,0,0.0,
Bobby Wagner,7050,LB,WAS,1,44,0,32,0,,,72.2,,,0,0,,67.5,0,,,0,0,0.0,0,13,29.5,18,0,0,0,0,0,0,0.0,,0,2,1.0,100.0,94.4,16.0,16.0,0,0,0.0,67.9,0,5,0.0,0,0,87.5,1,17,38.6,18,1,1,1,0,5,4,0.3,5.0
Lavonte David,7060,LB,TB,1,46,0,30,0,,,68.8,,,0,0,,67.0,0,,0.0,0,0,0.0,0,11,23.9,16,0,1,0,0,0,0,0.0,,0,0,2.0,100.0,100.0,8.0,8.0,0,0,0.0,67.6,0,13,0.0,0,0,90.3,3,24,52.2,24,2,3,3,0,17,11,0.7,5.7
Demario Davis,7079,LB,NO,1,35,0,20,0,,,70.0,,,0,0,,90.2,0,,0.0,0,0,0.0,0,7,20.0,10,1,2,0,0,0,0,0.0,,0,0,-2.7,100.0,81.0,5.7,5.7,0,0,0.0,64.5,0,5,50.0,1,0,79.2,3,17,48.6,21,1,1,3,0,8,16,0.5,2.7
Darius Slay,7817,CB,PIT,1,26,0,25,0,30.0,100.0,100.0,7.0,7.0,0,0,0.0,61.9,0,33,,0,0,158.3,1,8,30.8,8,0,0,1,1,33,3,4.7,33.0,0,0,8.0,100.0,100.0,17.0,17.0,0,0,0.0,60.7,0,8,0.0,0,0,100.0,1,17,65.4,17,0,1,1,0,8,0,0.5,8.0
Kyle Van Noy,8675,ED,BLT,1,3,0,3,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,18,0,1,0,0,0,0,,,0,0,,,13.3,,,0,0,,60.7,0,,,0,0,0.0,0,2,66.7,15,0,0,0,0,0,0,0.0,
Dante Fowler Jr.,9436,ED,DAL,1,1,0,9,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,
Leonard Williams,9439,DI,SEA,1,1,0,29,0,,,16.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,6,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.4,0,,50.0,1,0,0.0,0,0,0.0,17,0,0,0,0,0,0,,
Bud Dupree,9455,ED,LAC,1,2,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,7.0,100.0,14.3,2.0,2.0,0,0,0.0,48.6,0,12,,0,0,116.7,1,2,100.0,14,0,0,1,0,12,5,6.0,12.0
Denzel Perryman,9481,LB,LAC,1,4,0,27,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.9,0,,,0,0,0.0,0,3,75.0,3,0,0,0,0,0,0,0.0,
Quandre Diggs,9633,S,TEN,1,23,0,31,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,3,13.0,3,0,0,0,0,0,0,0.0,,0,0,2.7,66.7,94.1,7.0,4.7,0,0,0.0,59.4,0,6,0.0,0,0,72.9,2,16,69.6,17,1,3,3,0,11,3,0.8,5.5
